"Len","P31","P50","P356","P1476","P1433","P577"
"Toward a New Approach for Hydrological Modeling: A Tool for Sustainable Development in a Savanna Agro-System","Q13442814","Steven Weijs","10.1007/978-3-319-00639-0_8","Toward a New Approach for Hydrological Modeling: A Tool for Sustainable Development in a Savanna Agro-System","Technologies for Sustainable Development","2013-07-31"
"Toward a practical method for estimating sediment‐transport rates in gravel‐bed rivers","Q13442814","Marwan Hassan","10.1002/esp.301","Toward a practical method for estimating sediment‐transport rates in gravel‐bed rivers","Earth Surface Processes and Landforms","2002-09-10"
"Towards a broadened view of water security in mining regions","Q13442814","Nadja Kunz","10.1016/j.wasec.2020.100079","Towards a broadened view of water security in mining regions","Water Security","2020-12-07"
"Towards real-time detection of wastewater in surface waters using fluorescence spectroscopy","Q13442814","Nicolas Peleato","10.1016/j.jes.2019.06.002","Towards real-time detection of wastewater in surface waters using fluorescence spectroscopy","Journal of Environmental Sciences","2019-06-12"
"Toxaphene distribution in the Lake Superior trout and associated sublethal ecological risk: a probabilistic approach","Q13442814","Rehan Sadiq","10.1016/s1364-8152(03)00008-2","Toxaphene distribution in the Lake Superior trout and associated sublethal ecological risk: a probabilistic approach","Environmental Modelling & Software","2003-04-30"
"Tracers for sediment movement","Q13442814","Marwan Hassan","10.1007/springerreference_76609","Tracers for sediment movement","SpringerReference","2012-01-20"
"Tracking changes in soil organic carbon across the heterogeneous agricultural landscape of the Lower Fraser Valley of British Columbia","Q13442814","Mark Johnson","10.1016/j.scitotenv.2020.138994","Tracking changes in soil organic carbon across the heterogeneous agricultural landscape of the Lower Fraser Valley of British Columbia","Science of The Total Environment","2020-05-05"
"Transcatheter Valve-in-Valve Implantation for Failed Bioprosthetic Heart Valves","Q13442814","Mark Johnson","10.1161/circulationaha.109.924613","Transcatheter Valve-in-Valve Implantation for Failed Bioprosthetic Heart Valves","Circulation","2010-04-13"
"Transformation of Chloride to Organic Chlorine in Terrestrial Environments: Variability, Extent, and Implications","Q13442814","Gunilla Öberg","10.1080/10643389.2011.592753","Transformation of Chloride to Organic Chlorine in Terrestrial Environments: Variability, Extent, and Implications","Critical Reviews in Environmental Science and Technology","2012-11-12"
"Transient performance of biofilters treating mixtures of hydrophilic and hydrophobic volatile organic compounds","Q13442814","Madjid Mohseni","10.1080/10473289.1999.10463980","Transient performance of biofilters treating mixtures of hydrophilic and hydrophobic volatile organic compounds","Journal of the Air & Waste Management Association","2012-04-19"
"Translation of pipe inspection results into condition ratings using the fuzzy synthetic evaluation technique","Q13442814","Rehan Sadiq","10.2166/aqua.2005.069","Translation of pipe inspection results into condition ratings using the fuzzy synthetic evaluation technique","Journal of Water Supply: Research and Technology - Aqua","2015-12-15"
"Transport and dispersion of coarse bed material, Nahal Hebron","Q13442814","Marwan Hassan","10.3133/ofr63118","Transport and dispersion of coarse bed material, Nahal Hebron","Open-File Report","2018-08-15"
"Transport and settlement of organic matter in small streams","Q13442814","Q56794616","10.1111/j.1365-2427.2009.02292.x","Transport and settlement of organic matter in small streams","Freshwater Biology","2009-07-31"
"Treatment, residual chlorine and season as factors affecting variability of trihalomethanes in small drinking water systems","Q13442814","Rehan Sadiq","10.1007/s11783-014-0750-1","Treatment, residual chlorine and season as factors affecting variability of trihalomethanes in small drinking water systems","Frontiers of Environmental Science & Engineering","2014-07-31"
"Trihalomethane exposures in indoor swimming pools: a level III fugacity model","Q13442814","Rehan Sadiq","10.1016/j.watres.2011.07.005","Trihalomethane exposures in indoor swimming pools: a level III fugacity model","Water Research","2011-07-21"
"Trophic interactions between insects and stream-associated amphibians in steep, cobble-bottom streams of the Pacific Coast of North America","Q13442814","Q56794616","10.3390/insects3020432","Trophic interactions between insects and stream-associated amphibians in steep, cobble-bottom streams of the Pacific Coast of North America","Insects","2012-04-10"
"Trophic interception: how a boundary‐foraging organism influences cross‐ecosystem fluxes","Q13442814","Q56794616","10.1111/j.0030-1299.2007.15982.x","Trophic interception: how a boundary‐foraging organism influences cross‐ecosystem fluxes","Oikos","2007-12-03"
"Trophic‐level dependent effects on CO2 emissions from experimental stream ecosystems","Q13442814","Q56794616","10.1111/gcb.12516","Trophic‐level dependent effects on CO2 emissions from experimental stream ecosystems","Global Change Biology","2014-02-07"
"Turbulent flow over an evolving gravel bed","Q13442814","Marwan Hassan","10.2208/prohe1975.33.481","Turbulent flow over an evolving gravel bed","PROCEEDINGS OF THE JAPANESE CONFERENCE ON HYDRAULICS","2011-08-16"
"UV Treatment: A Solution for Small Community Water Supplies","Q13442814","Madjid Mohseni","10.1201/9781498710701-9","UV Treatment: A Solution for Small Community Water Supplies","Radon, Radium, and Uranium in Drinking Water","2020-07-09"
"UV-H2O2 based AOP and its integration with biological activated carbon treatment for DBP reduction in drinking water","Q13442814","Madjid Mohseni","10.1016/j.chemosphere.2006.09.043","UV-H2O2 based AOP and its integration with biological activated carbon treatment for DBP reduction in drinking water","Chemosphere","2006-11-14"
"UV-LED fluence determination by numerical method for microbial inactivation studies","Q13442814","Madjid Mohseni","10.1016/j.jphotochem.2020.112406","UV-LED fluence determination by numerical method for microbial inactivation studies","Journal of Photochemistry and Photobiology A: Chemistry","2020-01-23"
"UV-LED radiation modeling and its applications in UV dose determination for water treatment","Q13442814","Madjid Mohseni","10.1016/j.jphotochem.2017.10.047","UV-LED radiation modeling and its applications in UV dose determination for water treatment","Journal of Photochemistry and Photobiology A: Chemistry","2017-10-28"
"UV-light induced mineralization of organic matter bound chlorine in Lake Bjän, Sweden––a laboratory study","Q13442814","Gunilla Öberg","10.1016/s0045-6535(03)00194-2","UV-light induced mineralization of organic matter bound chlorine in Lake Bjän, Sweden––a laboratory study","Chemosphere","2003-05-12"
"Ultrafiltration fouling: Impact of backwash frequency and air sparging","Q13442814","Pierre Bérubé","10.1080/01496395.2014.948964","Ultrafiltration fouling: Impact of backwash frequency and air sparging","Separation Science and Technology","2014-09-02"
"Ultrafiltration organic fouling control: Comparison of air‐sparging and coagulation","Q13442814","Pierre Bérubé","10.5942/jawwa.2014.106.0018","Ultrafiltration organic fouling control: Comparison of air‐sparging and coagulation","Journal - American Water Works Association","2013-12-05"
"Ultraviolet photooxidation for the biodegradability enhancement of airborne o-xylene","Q13442814","Madjid Mohseni","10.1139/s04-060","Ultraviolet photooxidation for the biodegradability enhancement of airborne o-xylene","Journal of Environmental Engineering and Science","2005-07-22"
"Ultraviolet radiation affects emission of ozone-depleting substances by marine macroalgae: results from a laboratory incubation study","Q13442814","Gunilla Öberg","10.1021/es049527s","Ultraviolet radiation affects emission of ozone-depleting substances by marine macroalgae: results from a laboratory incubation study","Environmental Science & Technology","2004-12-13"
"Uncertainty quantification and integration of machine learning techniques for predicting acid rock drainage chemistry: A probability bounds approach","Q13442814","Rehan Sadiq","10.1016/j.scitotenv.2014.04.125","Uncertainty quantification and integration of machine learning techniques for predicting acid rock drainage chemistry: A probability bounds approach","Science of The Total Environment","2014-05-21"
"Uncertainty-driven characterization of climate change effects on drought frequency using enhanced SPI","Q13442814","Rehan Sadiq","10.1007/s11269-013-0467-0","Uncertainty-driven characterization of climate change effects on drought frequency using enhanced SPI","Water Resources Management","2013-11-15"
"Understanding processes and downstream linkages of headwater streams","Q13442814","Q56794616","10.1641/0006-3568(2002)052[0905:upadlo]2.0.co;2","Understanding processes and downstream linkages of headwater streams","BioScience","2006-07-13"
"Understanding the Innovation Ecosystem in Mining and What the Digital Revolution Means for It","Q13442814","Nadja Kunz","10.1201/b22353-1","Understanding the Innovation Ecosystem in Mining and What the Digital Revolution Means for It","Extracting Innovations","2019-06-03"
