"Len","P31","P50","P356","P1476"
"Sustainability as it pertains to minerals and energy supply and demand: a new interpretative perspective for assessing progress","Q13442814","Nadja Kunz","10.1016/j.jclepro.2014.09.008","Sustainability as it pertains to minerals and energy supply and demand: a new interpretative perspective for assessing progress"
"Sustainability assessment framework for low rise commercial buildings: life cycle impact index-based approach","Q13442814","Rehan Sadiq","10.1007/s10098-016-1168-1","Sustainability assessment framework for low rise commercial buildings: life cycle impact index-based approach"
"Sustainability assessment framework for small-sized urban neighbourhoods: An application of fuzzy synthetic evaluation","Q13442814","Rehan Sadiq","10.1016/j.scs.2017.09.031","Sustainability assessment framework for small-sized urban neighbourhoods: An application of fuzzy synthetic evaluation"
"Sustainability assessment of flooring systems in the city of Tehran: An AHP-based life cycle analysis","Q13442814","Rehan Sadiq","10.1016/j.conbuildmat.2010.11.041","Sustainability assessment of flooring systems in the city of Tehran: An AHP-based life cycle analysis"
"Sustainability assessment of roadway projects under uncertainty using Green Proforma: An index-based approach","Q13442814","Rehan Sadiq","10.1016/j.ijsbe.2016.06.002","Sustainability assessment of roadway projects under uncertainty using Green Proforma: An index-based approach"
"Sustainability evaluation framework for building cooling systems: a comparative study of snow storage and conventional chiller systems","Q13442814","Rehan Sadiq","10.1007/s10098-016-1198-8","Sustainability evaluation framework for building cooling systems: a comparative study of snow storage and conventional chiller systems"
"Sustainability evaluation of surface water quality management options in developing countries: multicriteria analysis using fuzzy UTASTAR method","Q13442814","Rehan Sadiq","10.1007/s11269-015-0982-2","Sustainability evaluation of surface water quality management options in developing countries: multicriteria analysis using fuzzy UTASTAR method"
"Sustainability in mining, minerals and energy: new processes, pathways and human interactions for a cautiously optimistic future","Q13442814","Nadja Kunz","10.1016/j.jclepro.2014.09.016","Sustainability in mining, minerals and energy: new processes, pathways and human interactions for a cautiously optimistic future"
"Sustainability performance assessment of green roof systems using fuzzy-analytical hierarchy process (FAHP)","Q13442814","Rehan Sadiq","10.1080/2093761x.2014.923794","Sustainability performance assessment of green roof systems using fuzzy-analytical hierarchy process (FAHP)"
"Sustainable water management by coupling human and engineered systems","Q13442814","Nadja Kunz","10.2495/wrm150041","Sustainable water management by coupling human and engineered systems"
"Sustainable, Resilient, and Reliable Urban Water Systems: Making a Case for 'One Water Approach'","Q13442814","Rehan Sadiq","10.1139/er-2020-0090","Sustainable, Resilient, and Reliable Urban Water Systems: Making a Case for 'One Water Approach'"
"Synthesis of photocatalytic nanosized TiO2–Ag particles with sol–gel method using reduction agent","Q13442814","Madjid Mohseni","10.1016/j.molcata.2005.07.038","Synthesis of photocatalytic nanosized TiO2–Ag particles with sol–gel method using reduction agent"
"Synthesis, Characterization, and Comparison of Sol–Gel TiO2 Immobilized Photocatalysts","Q13442814","Madjid Mohseni","10.1515/ijcre-2012-0054","Synthesis, Characterization, and Comparison of Sol–Gel TiO2 Immobilized Photocatalysts"
"Systematic study of separators in air-breathing flat-plate microbial fuel cells—part 2: numerical modeling","Q13442814","Madjid Mohseni","10.3390/en9020079","Systematic study of separators in air-breathing flat-plate microbial fuel cells—part 2: numerical modeling"
"TARGETED RESEQUENCING OF WETLAND SEDIMENT AS A TOOL FOR AVIAN INFLUENZA VIRUS SURVEILLANCE","Q13442814","Natalie Prystajecky","10.7589/2019-05-135","TARGETED RESEQUENCING OF WETLAND SEDIMENT AS A TOOL FOR AVIAN INFLUENZA VIRUS SURVEILLANCE"
"Techno-economic performance evaluation of building cooling systems: A study of snow storage and conventional chiller systems","Q13442814","Rehan Sadiq","10.1016/j.coldregions.2016.07.004","Techno-economic performance evaluation of building cooling systems: A study of snow storage and conventional chiller systems"
"Temperature dependence of 185 nm photochemical water treatment–The photolysis of water","Q13442814","Madjid Mohseni","10.1016/j.jphotochem.2017.12.030","Temperature dependence of 185 nm photochemical water treatment–The photolysis of water"
"Temperature dependence of the absorbance of 185 nm photons by water and commonly occurring solutes and its influence on the VUV advanced oxidation process","Q13442814","Madjid Mohseni","10.1039/c8ew00302e","Temperature dependence of the absorbance of 185 nm photons by water and commonly occurring solutes and its influence on the VUV advanced oxidation process"
"Temperature sensitivity indicates that chlorination of organic matter in forest soil is primarily biotic","Q13442814","Gunilla Öberg","10.1021/es8035779","Temperature sensitivity indicates that chlorination of organic matter in forest soil is primarily biotic"
"Temporal dynamics of soil CO2 efflux in the Northern Pantanal of Mato Grosso, Brazil","Q13442814","Mark Johnson","10.1080/03680770.1995.11900941","Temporal dynamics of soil CO2 efflux in the Northern Pantanal of Mato Grosso, Brazil"
"Temporal pattern and memory in sediment transport in a step-pool channel: an experimental study","Q13442814","Marwan Hassan","10.1002/2015wr016929","Temporal pattern and memory in sediment transport in a step-pool channel: an experimental study"
"Temporal variability of nitrous oxide from fertilized croplands: hot moment analysis","Q13442814","Mark Johnson","10.2136/sssaj2012.0039","Temporal variability of nitrous oxide from fertilized croplands: hot moment analysis"
"Terrestrial invertebrates in the riparian zone: mechanisms underlying their unique diversity","Q13442814","Q56794616","10.1093/biosci/bix078","Terrestrial invertebrates in the riparian zone: mechanisms underlying their unique diversity"
"The Behavioral Response to Increased Pedestrian and Staying Activity in Public Space: A Field Experiment","Q13442814","Jordi Honey-Rosés","10.1177/0013916520953147","The Behavioral Response to Increased Pedestrian and Staying Activity in Public Space: A Field Experiment"
"The Impact of UV/H2O2 Advanced Oxidation on Molecular Size Distribution of Chromophoric Natural Organic Matter","Q13442814","Madjid Mohseni","10.1021/es071602m","The Impact of UV/H2O2 Advanced Oxidation on Molecular Size Distribution of Chromophoric Natural Organic Matter"
"The Influence of Cell Concentration and Morphology on the Yielding Behavior of Filamentous Fermentation Broths","Q13442814","Madjid Mohseni","10.1007/978-94-017-0641-4_24","The Influence of Cell Concentration and Morphology on the Yielding Behavior of Filamentous Fermentation Broths"
"The Legal Geographies of Water Claims: Seawater Desalination in Mining Regions in Chile","Q13442814","Leila M. Harris","10.3390/w11050886","The Legal Geographies of Water Claims: Seawater Desalination in Mining Regions in Chile"
"The Maimai M8 experimental catchment database: Forty years of process‐based research on steep, wet hillslopes","Q13442814","Q57582079","10.1002/hyp.14112","The Maimai M8 experimental catchment database: Forty years of process‐based research on steep, wet hillslopes"
"The Randolph Glacier Inventory: a globally complete inventory of glaciers","Q13442814","Valentina Radić","10.3189/2014jog13j176","The Randolph Glacier Inventory: a globally complete inventory of glaciers"
"The antinomies of nature and space","Q13442814","Leila M. Harris","10.1177/2514848618777162","The antinomies of nature and space"
"The biogeochemistry of chlorine in soil","Q13442814","Gunilla Öberg","10.1007/b10447","The biogeochemistry of chlorine in soil"
"The cultural, economic, and health implications of water sharing","Q13442814","Leila M. Harris","10.21203/rs.2.15147/v1","The cultural, economic, and health implications of water sharing"
"The effect of concentration factor on membrane fouling","Q13442814","Pierre Bérubé","10.3390/membranes7030050","The effect of concentration factor on membrane fouling"
"The effect of episodic sediment supply on bedload variability and sediment mobility","Q13442814","Marwan Hassan","10.1029/2017wr022280","The effect of episodic sediment supply on bedload variability and sediment mobility"
"The effect of hydraulic regime on vertical sorting in gravel-bed rivers","Q13442814","Marwan Hassan","10.1029/2005wr004707","The effect of hydraulic regime on vertical sorting in gravel-bed rivers"
"The effect of hydrodynamic conditions and system configurations on the permeate flux in a submerged hollow fiber membrane system","Q13442814","Pierre Bérubé","10.1016/j.memsci.2005.07.006","The effect of hydrodynamic conditions and system configurations on the permeate flux in a submerged hollow fiber membrane system"
"The effect of particle morphology and concentration on the directly measured yield stress in filamentous suspensions","Q13442814","Madjid Mohseni","10.1002/bit.260480312","The effect of particle morphology and concentration on the directly measured yield stress in filamentous suspensions"
"The effect of seston on the life history, growth, and distribution of Neureclipsis bimaculata (Trichoptera: Polycentropodidae) in a boreal river","Q13442814","Q56794616","10.1139/z83-325","The effect of seston on the life history, growth, and distribution of Neureclipsis bimaculata (Trichoptera: Polycentropodidae) in a boreal river"
"The effects of discharge and slope on hyporheic flow in step‐pool morphologies","Q13442814","Marwan Hassan","10.1002/hyp.10155","The effects of discharge and slope on hyporheic flow in step‐pool morphologies"
"The exponential decline in saturated hydraulic conductivity with depth: a novel method for exploring its effect on water flow paths and transit time distribution","Q13442814","Q57582079","10.1002/hyp.10777","The exponential decline in saturated hydraulic conductivity with depth: a novel method for exploring its effect on water flow paths and transit time distribution"
"The fate of natural organic matter during UV/H2O2 advanced oxidation of drinking water","Q13442814","Madjid Mohseni","10.1680/jees.2013.0004","The fate of natural organic matter during UV/H2O2 advanced oxidation of drinking water"
